artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
jonatan leandoer127,On the Road,124000,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.498,0.557,3,-4.75,1,0.0276,0.208,0.0,0.422,0.456,180.11,4
jonatan leandoer127,Never Again,211764,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.245,0.252,2,-14.678,1,0.0369,0.801,0.0022,0.0926,0.168,132.566,4
jonatan leandoer127,Primal Fear,152558,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.138,0.779,8,-7.426,1,0.059,0.456,0.0,0.272,0.221,204.983,4
jonatan leandoer127,Hotel in Minsk,210532,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.399,0.266,8,-13.264,0,0.0379,0.6,0.656,0.09,0.0607,95.295,4
jonatan leandoer127,Farawaywithyou,220787,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.212,0.0862,2,-20.7,1,0.0323,0.969,0.000813,0.0978,0.176,74.813,3
jonatan leandoer127,Dog to Ur Bone,194437,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.181,0.105,2,-16.084,1,0.0353,0.911,0.0083,0.106,0.111,135.921,4
jonatan leandoer127,Rockstar,221422,Psychopath Ballads,"cloud rap, drain, hypnagogic pop",41.0,138501.0,album,2017-07-12,0.182,0.291,2,-14.475,1,0.0318,0.873,0.348,0.0958,0.326,99.789,4
Yung Lean,Hunting My Own Skin,182379,Stranger,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2017-11-10,0.632,0.675,9,-6.405,1,0.236,0.376,1.36e-06,0.12,0.57,159.901,4
Yung Lean,Red Bottom Sky,303412,Stranger,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2017-11-10,0.692,0.401,7,-9.382,1,0.0936,0.73,0.000932,0.0722,0.33,120.336,4
Whilk & Misky,Two Bridges,240703,Two Bridges,uk alternative pop,44.0,88861.0,single,2015-05-04,0.764,0.512,2,-11.516,1,0.0672,0.165,0.0102,0.34,0.433,118.046,4
Dove Cameron,If Only,229812,Descendants,pop,69.0,5027738.0,compilation,2015-01-01,0.477,0.6,7,-5.652,1,0.0324,0.271,0.0,0.112,0.29,152.062,3
Sofia Carson,Why Don't I - Duet,174960,A Cinderella Story: If The Shoe Fits - Original Motion Picture Soundtrack,pop,65.0,3608267.0,compilation,2016-08-02,0.534,0.609,7,-6.836,1,0.0276,0.00789,1.26e-06,0.0957,0.206,112.049,4
Tori Kelly,Hallelujah,207986,Hallelujah,"pop, post-teen pop",64.0,2132806.0,single,2016-12-02,0.229,0.239,1,-9.146,0,0.0307,0.791,0.0,0.117,0.202,94.69,3
Pia Mia,We Should Be Together,224440,We Should Be Together,"dance pop, pop, post-teen pop",55.0,1947825.0,single,2016-12-16,0.608,0.609,1,-5.546,0,0.138,0.435,0.0,0.243,0.591,172.755,4
Kyle Olthoff,I Wouldn't Mind,194424,I Wouldn't Mind,,15.0,5426.0,single,2016-12-02,0.535,0.0958,0,-16.786,1,0.0326,0.956,0.000697,0.103,0.31,100.104,4
Ruelle,I Get to Love You,239362,I Get to Love You,metropopolis,60.0,598019.0,single,2016-02-12,0.335,0.251,2,-6.225,1,0.0317,0.924,0.0,0.111,0.0863,153.298,3
Isaiah,It's Gotta Be You,193446,Isaiah,australian pop,39.0,55071.0,album,2016-12-09,0.422,0.745,8,-4.632,1,0.0378,0.221,0.0,0.0981,0.588,95.487,4
Conor Maynard,Don't Let Me Down,164129,Covers,"post-teen pop, talent show, uk pop, viral pop",63.0,2084345.0,album,2016-08-05,0.446,0.37,9,-8.447,1,0.0464,0.913,0.0,0.126,0.209,108.58,3
Gavin James,Nervous - Acoustic,250573,Nervous,irish pop,56.0,715489.0,single,2016-09-23,0.427,0.127,7,-12.731,1,0.0419,0.964,1.92e-06,0.109,0.259,76.357,4
Jamie Lawson,Wasn't Expecting That,201072,Jamie Lawson,"devon indie, indie anthem-folk",45.0,118660.0,album,2015-10-09,0.591,0.415,6,-6.936,1,0.0437,0.424,0.000299,0.111,0.197,90.483,4
The Girl and The Dreamcatcher,Monster,223257,Negatives,post-teen pop,40.0,519698.0,single,2016-07-29,0.504,0.434,0,-7.901,1,0.0418,0.612,1.22e-06,0.119,0.0934,79.818,4
The Girl and The Dreamcatcher,Gladiator,186163,Negatives,post-teen pop,40.0,519698.0,single,2016-07-29,0.703,0.653,0,-5.228,1,0.0681,0.0392,0.0,0.115,0.477,124.907,4
The Girl and The Dreamcatcher,Written in the Stars,191615,Written in the Stars,post-teen pop,40.0,519698.0,single,2015-10-02,0.632,0.762,11,-5.147,1,0.0509,0.146,0.0,0.086,0.369,126.034,4
The Girl and The Dreamcatcher,Someone You Like,194646,Someone You Like,post-teen pop,40.0,519698.0,single,2016-04-08,0.779,0.464,0,-7.567,1,0.0395,0.375,0.0,0.112,0.435,123.988,4
Sofia Carson,Love Is the Name,207715,Love Is the Name,pop,65.0,3608267.0,single,2016-04-08,0.658,0.785,7,-3.973,1,0.038,0.0017,1.44e-05,0.0345,0.698,94.024,4
